iter	RMSE
0	14.95835707
1	14.57583351
2	14.22983867
3	13.86711583
4	13.52966601
5	13.22413366
6	12.91880749
7	12.65105782
8	12.37926408
9	12.08541595
10	11.80198303
11	11.55253485
12	11.32875522
13	11.09612432
14	10.86335769
15	10.62440704
16	10.40069204
17	10.18042584
18	9.971330176
19	9.791607122
20	9.632152066
21	9.475976192
22	9.300050722
23	9.126747664
24	8.964561885
25	8.832778379
26	8.69369294
27	8.578999998
28	8.435868804
29	8.307705355
30	8.207549873
31	8.097845422
32	7.979073182
33	7.872173078
34	7.759766592
35	7.664646087
36	7.560331156
37	7.479587726
38	7.383509841
39	7.307634194
40	7.224998054
41	7.14856585
42	7.073083094
43	7.001050186
44	6.928936389
45	6.864262102
46	6.797541326
47	6.736992523
48	6.67464363
49	6.614123831
50	6.560166621
51	6.511419446
52	6.461798888
53	6.407719917
54	6.353345434
55	6.306061985
56	6.264223303
57	6.223560036
58	6.182342097
59	6.147199647
60	6.107184125
61	6.070581612
62	6.03520331
63	5.998288142
64	5.963027104
65	5.928787464
66	5.896871406
67	5.862467755
68	5.836391328
69	5.810844193
70	5.784855391
71	5.761218739
72	5.736836891
73	5.710552202
74	5.687068008
75	5.662885924
76	5.643912898
77	5.628040912
78	5.608154057
79	5.589150854
80	5.57261739
81	5.554955861
82	5.539915535
83	5.527936349
84	5.512494733
85	5.498530814
86	5.482775643
87	5.469978767
88	5.457082474
89	5.44327133
90	5.430856727
91	5.419971779
92	5.403100755
93	5.395369819
94	5.380073418
95	5.362539035
96	5.350957903
97	5.338874042
98	5.326440914
99	5.315545614
100	5.303708275
101	5.29272815
102	5.283809521
103	5.271334473
104	5.259708356
105	5.246051653
106	5.23569501
107	5.226895923
108	5.219173106
109	5.209199757
110	5.199934811
111	5.193286318
112	5.18360417
113	5.173354925
114	5.168871585
115	5.163161381
116	5.155244176
117	5.147800756
118	5.140870557
119	5.13353785
120	5.12773113
121	5.120338488
122	5.113901797
123	5.107792872
124	5.104275987
125	5.098200906
126	5.093803779
127	5.086047594
128	5.078750889
129	5.075630888
130	5.068409608
131	5.062168982
132	5.051641833
133	5.047776596
134	5.040044868
135	5.034489764
136	5.025299042
137	5.020520774
138	5.0136732
139	5.007083626
140	5.00255682
141	4.99753947
142	4.992458516
143	4.983321895
144	4.978109893
145	4.974997114
146	4.969769953
147	4.967211054
148	4.960505765
149	4.953448083
150	4.947751463
151	4.94345723
152	4.93348049
153	4.926433841
154	4.916186968
155	4.909152701
156	4.902874203
157	4.899684111
158	4.893822885
159	4.888133614
160	4.884711793
161	4.881451207
162	4.874765991
163	4.866971623
164	4.863342757
165	4.855596746
166	4.849229339
167	4.845713121
168	4.840533193
169	4.840151237
170	4.834499881
171	4.825865955
172	4.822187556
173	4.816824067
174	4.814454641
175	4.810599401
176	4.806722827
177	4.800902606
178	4.796139534
179	4.790391379
180	4.780857942
181	4.777882556
182	4.773399507
183	4.771242329
184	4.768176176
185	4.763711446
186	4.757101464
187	4.748941251
188	4.745707402
189	4.742504775
190	4.740281846
191	4.735194153
192	4.729410888
193	4.723070469
