iter	Passed	Remaining
0	0	945
1	1	884
2	2	834
3	3	876
4	4	871
5	5	861
6	5	841
7	6	824
8	7	816
9	8	817
10	9	833
11	10	848
12	11	841
13	11	838
14	12	829
15	13	819
16	14	814
17	15	824
18	16	828
19	16	825
20	17	820
21	18	816
22	19	810
23	19	807
24	20	807
25	21	807
26	22	808
27	23	804
28	23	799
29	24	797
30	25	794
31	26	793
32	27	796
33	28	796
34	28	796
35	29	794
36	30	789
37	31	787
38	31	783
39	32	786
40	33	787
41	34	784
42	35	780
43	35	776
44	36	774
45	37	770
46	37	766
47	38	766
48	39	768
49	40	765
50	41	763
51	41	762
52	42	759
53	43	757
54	44	756
55	44	758
56	45	756
57	46	755
58	47	753
59	47	749
60	48	747
61	49	745
62	49	743
63	50	743
64	51	743
65	52	742
66	53	740
67	53	739
68	54	738
69	55	736
70	56	734
71	57	736
72	57	734
73	58	731
74	59	729
75	59	727
76	60	724
77	61	721
78	61	719
79	62	719
80	63	719
81	64	717
82	65	718
83	65	716
84	66	714
85	66	712
86	67	711
87	68	711
88	69	711
89	70	710
90	70	709
91	71	707
92	72	706
93	72	702
94	73	703
95	74	703
96	75	703
97	76	702
98	76	700
99	77	700
100	78	698
101	79	697
102	80	700
103	81	701
104	82	703
105	83	704
106	84	703
107	85	703
108	86	704
109	87	704
110	87	703
111	88	703
112	89	701
113	90	700
114	90	699
115	91	700
116	93	703
117	94	703
118	95	703
119	95	703
120	96	704
121	98	705
122	99	706
123	99	705
124	100	705
125	101	705
126	102	703
127	103	703
128	104	704
129	105	703
130	105	702
131	106	701
132	107	700
133	108	699
134	109	699
135	110	700
136	111	700
137	112	699
138	112	698
139	113	697
140	114	696
141	115	697
142	116	697
143	117	695
144	117	693
145	118	692
146	119	690
147	119	688
148	120	687
149	121	686
150	122	686
151	122	685
152	123	684
153	124	682
154	124	681
155	125	679
156	126	678
157	127	677
158	128	678
159	128	676
160	129	674
161	130	673
162	130	672
163	131	670
164	132	669
165	133	668
166	134	669
167	134	668
168	135	667
169	136	664
170	136	663
171	137	662
172	138	660
173	138	659
174	139	659
175	140	658
176	141	656
177	141	655
178	142	653
179	143	652
180	143	651
181	144	651
182	145	651
183	146	650
184	147	649
185	148	649
186	149	648
187	149	646
188	150	647
189	151	647
190	152	646
191	153	645
192	154	644
193	154	642
194	155	641
195	156	640
196	157	640
197	158	640
198	158	639
199	159	638
200	160	639
201	161	638
202	162	638
203	163	638
204	164	636
205	165	636
206	165	635
207	166	634
208	167	634
209	168	634
210	169	633
211	170	632
212	170	631
213	171	630
214	172	629
215	173	628
216	174	628
217	175	628
218	176	628
219	176	627
220	177	626
221	178	625
222	179	623
223	179	623
224	180	622
225	181	621
226	182	621
227	183	621
228	184	620
229	184	618
230	185	617
231	186	617
232	187	617
233	188	615
234	188	615
235	189	613
236	190	612
237	190	611
238	191	610
239	192	609
240	193	608
241	193	607
242	194	606
243	195	605
244	195	603
245	196	602
246	197	601
247	198	601
248	199	600
249	199	599
250	200	598
251	201	597
252	202	596
253	202	595
254	203	594
255	204	593
256	205	593
257	205	591
258	206	590
259	207	589
260	207	588
261	208	587
262	209	586
263	210	586
264	211	585
265	211	584
266	212	583
267	213	582
268	213	581
269	214	580
270	215	579
271	216	579
272	217	578
273	217	577
274	218	576
275	219	574
276	219	574
277	220	573
278	221	572
279	222	571
280	223	571
281	223	569
282	224	568
283	225	567
284	225	566
285	226	565
286	227	564
287	228	563
288	228	563
289	229	561
290	230	561
291	230	560
292	231	559
293	232	557
294	233	556
295	233	556
296	234	555
297	235	554
298	236	553
299	236	552
300	237	551
301	238	550
302	238	549
303	239	548
304	240	548
305	241	547
306	242	546
307	242	545
308	243	544
309	244	543
310	244	542
311	245	541
312	246	541
313	247	540
314	247	539
315	248	538
316	249	537
317	249	536
318	250	535
319	251	534
320	252	533
321	253	532
322	253	531
323	254	530
324	255	530
325	255	529
326	256	528
327	257	528
328	258	527
329	259	526
330	260	525
331	260	524
332	261	524
333	262	523
334	263	522
335	264	522
336	266	523
337	266	522
338	267	521
339	268	521
340	269	520
341	270	520
342	271	519
343	271	518
344	272	517
345	273	516
346	274	516
347	275	515
348	276	515
349	277	516
350	278	515
351	279	515
352	280	514
353	281	514
354	282	513
355	284	514
356	285	513
357	286	513
358	287	513
359	288	512
360	289	512
361	290	511
362	290	510
363	291	509
364	292	509
365	293	509
366	294	508
367	295	507
368	296	507
369	297	506
370	298	505
371	298	504
372	299	504
373	300	503
374	301	502
375	302	501
376	302	500
377	303	499
378	304	498
379	305	498
380	306	497
381	307	496
382	307	495
383	308	495
384	309	494
385	310	493
386	311	492
387	312	492
388	312	491
389	313	490
390	314	489
391	314	488
392	315	487
393	316	486
394	317	486
395	318	485
396	319	485
397	320	484
398	321	483
399	321	482
400	322	482
401	323	481
402	324	480
403	325	479
404	326	479
405	327	478
406	328	478
407	329	477
408	330	476
409	330	476
410	331	475
411	332	474
412	333	473
413	334	473
414	335	472
415	336	471
416	336	471
417	337	470
418	338	469
419	339	469
420	340	468
421	341	468
422	342	467
423	343	466
424	344	466
425	345	465
426	346	465
427	347	464
428	348	463
429	349	462
430	349	462
431	350	461
432	351	460
433	352	460
434	353	459
435	354	458
436	355	457
437	356	457
438	357	456
439	358	456
440	359	455
441	360	454
442	360	453
443	362	453
444	363	452
445	363	451
446	364	451
447	365	450
448	366	449
449	367	448
450	368	448
451	369	448
452	371	448
453	371	447
454	372	446
455	373	445
456	374	444
457	375	443
458	376	443
459	377	442
460	377	441
461	378	440
462	379	439
463	379	438
464	380	438
465	381	437
466	382	436
467	383	436
468	384	435
469	385	434
470	386	433
471	386	432
472	387	432
473	388	431
474	389	430
475	390	429
476	390	428
477	391	427
478	393	427
479	394	426
480	394	426
481	395	425
482	396	424
483	397	423
484	398	422
485	399	422
486	400	421
487	401	420
488	401	420
489	402	419
490	404	418
491	405	418
492	405	417
493	406	416
494	407	415
495	408	414
496	409	414
497	410	413
498	411	413
499	412	412
500	413	411
501	414	410
502	415	411
503	417	410
504	418	409
505	419	409
506	420	408
507	420	407
508	421	406
509	423	406
510	423	405
511	424	404
512	425	404
513	426	403
514	427	403
515	429	402
516	429	401
517	430	400
518	431	399
519	432	398
520	433	398
521	434	397
522	435	396
523	435	395
524	436	395
525	437	394
526	439	394
527	440	393
528	441	392
529	441	391
530	442	390
531	443	390
532	444	389
533	445	388
534	446	387
535	447	387
536	448	386
537	448	385
538	449	384
539	450	384
540	451	383
541	452	382
542	453	381
543	454	380
544	455	380
545	456	379
546	457	378
547	458	378
548	459	377
549	460	376
550	461	375
551	462	375
552	463	374
553	464	373
554	465	373
555	466	372
556	467	371
557	467	370
558	469	370
559	470	369
560	471	368
561	471	367
562	472	366
563	473	366
564	474	365
565	475	364
566	476	363
567	477	363
568	478	362
569	478	361
570	479	360
571	480	359
572	481	358
573	482	357
574	482	356
575	483	355
576	484	355
577	485	354
578	485	353
579	486	352
580	487	351
581	488	350
582	489	350
583	490	349
584	491	348
585	492	347
586	493	347
587	494	346
588	495	345
589	496	344
590	497	343
591	498	343
592	499	342
593	500	342
594	501	341
595	502	340
596	502	339
597	503	338
598	506	338
599	507	338
600	507	337
601	508	336
602	509	335
603	510	334
604	511	334
605	512	333
606	513	332
607	513	331
608	514	330
609	516	329
610	517	329
611	518	328
612	520	328
613	521	327
614	522	326
615	523	326
616	524	325
617	525	324
618	525	323
619	527	323
620	528	322
621	529	321
622	530	320
623	530	319
624	531	319
625	533	318
626	533	317
627	535	316
628	535	316
629	536	315
630	537	314
631	538	313
632	539	312
633	540	312
634	541	311
635	542	310
636	543	309
637	543	308
638	544	307
639	545	307
640	546	306
641	547	305
642	548	304
643	549	303
644	550	303
645	551	302
646	552	301
647	553	300
648	554	299
649	555	298
650	556	298
651	557	297
652	558	296
653	558	295
654	559	294
655	560	293
656	561	293
657	562	292
658	563	291
659	564	290
660	565	289
661	566	289
662	567	288
663	568	287
664	569	286
665	570	285
666	570	285
667	571	284
668	572	283
669	573	282
670	574	281
671	575	280
672	575	279
673	576	278
674	577	278
675	578	277
676	579	276
677	580	275
678	581	274
679	582	273
680	582	272
681	583	272
682	584	271
683	585	270
684	586	269
685	587	268
686	587	267
687	588	266
688	589	266
689	590	265
690	591	264
691	592	263
692	593	262
693	594	262
694	595	261
695	596	260
696	597	259
697	597	258
698	598	257
699	599	256
700	600	256
701	601	255
702	602	254
703	603	253
704	604	252
705	605	252
706	606	251
707	607	250
708	607	249
709	608	248
710	609	247
711	610	246
712	611	246
713	612	245
714	612	244
715	613	243
716	614	242
717	615	241
718	616	240
719	617	240
720	618	239
721	619	238
722	620	237
723	620	236
724	621	235
725	622	234
726	623	234
727	623	233
728	624	232
729	625	231
730	626	230
731	627	229
732	628	228
733	629	228
734	629	227
735	630	226
736	631	225
737	632	224
738	633	223
739	634	222
740	635	222
741	635	221
742	636	220
743	637	219
744	638	218
745	639	217
746	640	216
747	641	216
748	642	215
749	642	214
750	644	213
751	644	212
752	645	211
753	646	210
754	647	210
755	648	209
756	649	208
757	650	207
758	651	206
759	651	205
760	652	205
761	653	204
762	654	203
763	655	202
764	656	201
765	657	200
766	657	199
767	658	198
768	659	198
769	660	197
770	661	196
771	662	195
772	663	194
773	663	193
774	664	192
775	665	192
776	665	191
777	666	190
778	667	189
779	668	188
780	669	187
781	669	186
782	670	185
783	671	185
784	672	184
785	673	183
786	674	182
787	675	181
788	676	180
789	676	179
790	677	179
791	678	178
792	679	177
793	680	176
794	680	175
795	681	174
796	682	173
797	682	172
798	683	171
799	684	171
800	685	170
801	685	169
802	686	168
803	687	167
804	688	166
805	689	165
806	689	164
807	690	164
